,Stock,Most Recent GP,2nd Most Recent GP,3rd Most Recent GP,4th Most Recent GP
0,AAPL,54243000000.0,35174000000.0,35255000000.0,38079000000.0
1,MSFT,34768000000.0,31671000000.0,32161000000.0,28661000000.0
2,GOOG,42337000000.0,37497000000.0,35653000000.0,31211000000.0
3,AMZN,54577000000.0,47882000000.0,48904000000.0,46115000000.0
4,TSLA,4847000000.0,3660000000.0,2884000000.0,2215000000.0
5,BRK-A,49723000000.0,13163000000.0,36650000000.0,15327000000.0
6,FB,27323000000.0,23239000000.0,23678000000.0,21040000000.0
7,UNH,17584000000.0,17233000000.0,17115000000.0,17720000000.0
8,NVDA,4999000000.0,4631000000.0,4215000000.0,3629000000.0
9,JNJ,16884000000.0,16106000000.0,15745000000.0,15285000000.0
10,V,6869000000.0,6367000000.0,5944000000.0,5550000000.0
11,WMT,37349000000.0,35502000000.0,35865000000.0,35038000000.0
12,PG,10289000000.0,9973000000.0,9289000000.0,9187000000.0
13,JPM,30538000000.0,31174000000.0,32764000000.0,36422000000.0
14,XOM,28876000000.0,23652000000.0,20506000000.0,17011000000.0
15,MA,5216000000.0,4985000000.0,4528000000.0,4155000000.0
16,CVX,18520000000.0,18718000000.0,15488000000.0,13508000000.0
17,HD,11862000000.0,12563000000.0,13665000000.0,12742000000.0
18,BAC,22549000000.0,23390000000.0,23087000000.0,24681000000.0
19,KO,5376000000.0,6065000000.0,6342000000.0,5515000000.0
20,ABBV,10606000000.0,9998000000.0,9461000000.0,8818000000.0
21,PFE,14068000000.0,14163000000.0,11985000000.0,10410000000.0
22,LLY,5854300000.0,5342000000.0,5209900000.0,4927000000.0
23,COST,6387000000.0,6411000000.0,7942000000.0,5862000000.0
24,AVGO,5781000000.0,5487000000.0,5049000000.0,4911000000.0
25,PEP,13134000000.0,10804000000.0,10340000000.0,8151000000.0
26,TMO,5246000000.0,4651000000.0,4524000000.0,5217000000.0
27,VZ,19071000000.0,19387000000.0,19509000000.0,19345000000.0
28,DIS,7252000000.0,6193000000.0,5789000000.0,5831000000.0
29,MRK,9694000000.0,9752000000.0,8373000000.0,7643000000.0
30,CSCO,8049000000.0,8053000000.0,8344000000.0,8185000000.0
31,ABT,7171000000.0,6505000000.0,5786000000.0,6056000000.0
32,CMCSA,20456000000.0,19903000000.0,19290000000.0,18286000000.0
33,ORCL,8295000000.0,8201000000.0,7625000000.0,9105000000.0
34,NKE,5067000000.0,5213000000.0,5696000000.0,5658000000.0
35,ADBE,3750000000.0,3603000000.0,3468000000.0,3391000000.0
36,DHR,5001000000.0,4376000000.0,4397000000.0,4282000000.0
37,INTC,11009000000.0,10746000000.0,11206000000.0,10854000000.0
38,MCD,3261000000.0,3431400000.0,3219500000.0,2668300000.0
39,WFC,21568000000.0,20233000000.0,21567000000.0,19580000000.0
40,CRM,5312000000.0,5019000000.0,4727000000.0,4408000000.0
41,UPS,6040000000.0,5763000000.0,6094000000.0,8970000000.0
42,BMY,9629000000.0,9430000000.0,9340000000.0,8649000000.0
43,TMUS,11338000000.0,11456000000.0,11366000000.0,11386000000.0
44,TXN,3350000000.0,3152000000.0,3077000000.0,2797000000.0
45,PM,5297000000.0,5526000000.0,5241000000.0,5311000000.0
46,RTX,3437000000.0,3128000000.0,3226000000.0,2734000000.0
47,QCOM,6402000000.0,5399000000.0,4656000000.0,4503000000.0
48,MS,12880000000.0,13140000000.0,13199000000.0,14076000000.0
49,UNP,3302000000.0,3263000000.0,3314000000.0,2868000000.0
