,Stock,Most Recent Revenue,2nd Most Recent Revenue,3rd Most Recent Revenue,4th Most Recent Revenue
0,AAPL,123945000000.0,83360000000.0,81434000000.0,89584000000.0
1,MSFT,51728000000.0,45317000000.0,46152000000.0,41706000000.0
2,GOOG,75325000000.0,65118000000.0,61880000000.0,55314000000.0
3,AMZN,137412000000.0,110812000000.0,113080000000.0,108518000000.0
4,TSLA,17719000000.0,13757000000.0,11958000000.0,10389000000.0
5,BRK-A,71798000000.0,70583000000.0,69114000000.0,64599000000.0
6,FB,33671000000.0,29010000000.0,29077000000.0,26171000000.0
7,UNH,73743000000.0,72337000000.0,71321000000.0,70196000000.0
8,NVDA,7643000000.0,7103000000.0,6507000000.0,5661000000.0
9,JNJ,24804000000.0,23338000000.0,23312000000.0,22321000000.0
10,V,7059000000.0,6559000000.0,6130000000.0,5729000000.0
11,WMT,152871000000.0,140525000000.0,141048000000.0,138310000000.0
12,PG,20953000000.0,20338000000.0,18946000000.0,18109000000.0
13,JPM,30538000000.0,31174000000.0,32764000000.0,36422000000.0
14,XOM,82885000000.0,72116000000.0,66306000000.0,57674000000.0
15,MA,5216000000.0,4985000000.0,4528000000.0,4155000000.0
16,CVX,45861000000.0,42552000000.0,36117000000.0,31076000000.0
17,HD,35719000000.0,36820000000.0,41118000000.0,37500000000.0
18,BAC,22549000000.0,23390000000.0,23087000000.0,24681000000.0
19,KO,9464000000.0,10042000000.0,10129000000.0,9020000000.0
20,ABBV,14886000000.0,14342000000.0,13959000000.0,13010000000.0
21,PFE,23635000000.0,24094000000.0,18977000000.0,14582000000.0
22,LLY,7999900000.0,6772800000.0,6740100000.0,6805600000.0
23,COST,51904000000.0,50363000000.0,62675000000.0,45277000000.0
24,AVGO,7706000000.0,7407000000.0,6778000000.0,6610000000.0
25,PEP,25248000000.0,20189000000.0,19217000000.0,14820000000.0
26,TMO,10702000000.0,9330000000.0,9273000000.0,9906000000.0
27,VZ,34067000000.0,32915000000.0,33764000000.0,32867000000.0
28,DIS,21819000000.0,18534000000.0,17022000000.0,15613000000.0
29,MRK,13521000000.0,13154000000.0,11402000000.0,10627000000.0
30,CSCO,12720000000.0,12900000000.0,13126000000.0,12803000000.0
31,ABT,11468000000.0,10928000000.0,10223000000.0,10456000000.0
32,CMCSA,30336000000.0,30298000000.0,28546000000.0,27205000000.0
33,ORCL,10513000000.0,10360000000.0,9728000000.0,11227000000.0
34,NKE,10871000000.0,11357000000.0,12248000000.0,12344000000.0
35,ADBE,4262000000.0,4110000000.0,3935000000.0,3835000000.0
36,DHR,8148000000.0,7229000000.0,7218000000.0,6858000000.0
37,INTC,20528000000.0,19192000000.0,19631000000.0,19673000000.0
38,MCD,6009100000.0,6201300000.0,5887900000.0,5124600000.0
39,WFC,21568000000.0,20233000000.0,21567000000.0,19580000000.0
40,CRM,7326000000.0,6863000000.0,6340000000.0,5963000000.0
41,UPS,27771000000.0,23184000000.0,23424000000.0,22908000000.0
42,BMY,11985000000.0,11624000000.0,11703000000.0,11073000000.0
43,TMUS,20785000000.0,19624000000.0,19950000000.0,19759000000.0
44,TXN,4832000000.0,4643000000.0,4580000000.0,4289000000.0
45,PM,8104000000.0,8122000000.0,7594000000.0,7585000000.0
46,RTX,17044000000.0,16213000000.0,15880000000.0,15251000000.0
47,QCOM,10705000000.0,9336000000.0,8060000000.0,7935000000.0
48,MS,14524000000.0,14753000000.0,14759000000.0,15719000000.0
49,UNP,5733000000.0,5566000000.0,5504000000.0,5001000000.0
